panel_a_self_low,panel_a_self_high,panel_a_other_low,panel_a_other_high,panel_b_self_low,panel_b_self_high,panel_b_other_low,panel_b_other_high,panel_c_self_low,panel_c_self_medium,panel_c_self_high,panel_b_other_low,panel_c_other_medium,panel_b_other_high,panel_d_self_low,panel_d_self_high,panel_d_other_low,panel_d_other_high
0.10345,0.76667,0.033333,0.76667,0.51852,0.375,0.28571,0.5,0.52632,0.3,0.5,0.3,0.35,0.55,0.5625,0.39535,0.3125,0.43182
0.43333,0.7,0.5,0.76667,0.57143,0.5625,0.60714,0.65625,0.65,0.65,0.4,0.5,0.55,0.85,0.75,0.44444,0.375,0.72727
0.65385,1,0.22581,0.86207,0.88889,0.78571,0.5,0.5625,0.73684,1,0.78947,0.4,0.6,0.6,1,0.80851,0.4,0.57778
0.65517,1,0.63333,0.96667,0.85185,0.8125,0.75,0.84375,0.9,0.8,0.78947,0.7,0.8,0.9,0.77778,0.84,0.6875,0.84091
0.39286,0.71429,0.53333,0.8,0.48148,0.62069,0.67857,0.65625,0.77778,0.27778,0.6,0.7,0.55,0.75,0.4375,0.6,0.6875,0.65909
0.72414,1,0.36667,0.7931,0.77778,0.9375,0.5,0.64516,0.94737,0.85,0.8,0.42105,0.55,0.75,1,0.84906,0.3125,0.67442
0.41379,0.56667,0.2069,0.43333,0.37037,0.59375,0.32143,0.32258,0.47368,0.35,0.65,0.57895,0.05,0.35,0.57895,0.45,0.25,0.34884
0.43333,0.93333,0.3,0.83333,0.67857,0.6875,0.46429,0.65625,0.55,0.75,0.75,0.4,0.45,0.85,0.7,0.68,0.375,0.63636
0.68966,0.83333,0.66667,0.8,0.64286,0.87097,0.71429,0.75,0.73684,0.75,0.8,0.45,0.8,0.95,0.63636,0.79167,0.5625,0.79545
0.89286,1,0.5,0.93333,0.92593,0.96774,0.71429,0.71875,0.95,0.94444,0.95,0.65,0.75,0.75,1,0.9434,0.6875,0.72727
0.7931,0.96667,0.4,0.86667,0.92593,0.84375,0.64286,0.625,0.85,0.89474,0.9,0.45,0.65,0.8,1,0.86792,0.46667,0.68889
0.7,0.86667,0.5,0.9,0.78571,0.78125,0.64286,0.75,0.85,0.65,0.85,0.65,0.6,0.85,0.5,0.82692,0.66667,0.71111
0.3,0.96667,0.4,0.9,0.57143,0.6875,0.64286,0.65625,0.65,0.6,0.65,0.6,0.6,0.75,0.83333,0.61111,0.53333,0.68889
0.73333,0.96667,0.66667,0.9,0.78571,0.90625,0.78571,0.78125,0.9,0.85,0.8,0.75,0.7,0.9,0.75,0.86538,0.8125,0.77273
0.5,0.93333,0.36667,0.73333,0.67857,0.75,0.42857,0.65625,0.85,0.6,0.7,0.5,0.55,0.6,0.42857,0.75472,0.5625,0.54545
0.44828,0.33333,0.46667,0.36667,0.35714,0.41935,0.46429,0.375,0.31579,0.35,0.5,0.35,0.35,0.55,0.4,0.38889,0.375,0.43182
0.55172,0.93333,0.36667,0.66667,0.59259,0.875,0.42857,0.59375,0.75,0.73684,0.75,0.25,0.55,0.75,0.5,0.78431,0.4,0.55556
0.67857,0.93333,0.5,0.9,0.76923,0.84375,0.64286,0.75,0.95,0.77778,0.7,0.5,0.75,0.85,0.83333,0.80435,0.75,0.68182
0.68966,1,0.5,0.9,0.81481,0.875,0.71429,0.6875,0.85,0.7,1,0.55,0.8,0.75,0.71429,0.86538,0.375,0.81818
0.34483,0.96667,0.13333,0.73333,0.64286,0.67742,0.32143,0.53125,0.84211,0.45,0.7,0.65,0.15,0.5,1,0.60784,0.6,0.37778
0.63333,1,0.63333,0.86667,0.75,0.875,0.67857,0.8125,0.85,0.8,0.8,0.65,0.85,0.75,0.85714,0.81132,0.875,0.70455
