panel_a_V5_social,panel_a_V5_coherence,panel_a_V5_interaction,panel_a_LIP_social,panel_a_LIP_coherence,panel_a_LIP_interaction,panel_b_V5_self,panel_b_V5_other,panel_b_LIP_self,panel_b_LIP_other
-0.41082,0.24973,0.080924,-0.36054,0.089317,0.24027,0.19316,0.33451,-0.029029,0.23187
-0.59405,0.013749,-0.20893,-0.53348,0.0071839,-0.30118,0.12614,-0.093373,0.15418,-0.1594
-0.1171,0.1472,-0.32324,0.14818,0.065675,0.048421,0.26411,-0.017848,0.044523,0.085116
-0.2358,0.13478,0.01125,-0.63198,-0.015507,0.38679,0.13274,0.1387,-0.23895,0.17507
-0.56936,0.16361,0.031796,-0.3863,0.069786,0.10761,0.14634,0.19749,0.013973,0.15403
-0.86768,0.036171,0.38434,-0.27989,0.046628,0.073466,-0.17426,0.25241,0.0092013,0.092988
-0.3599,0.094046,-0.20928,-0.58586,0.0037902,-0.15417,0.19714,-0.011049,0.085848,-0.075632
-0.44779,-0.029843,-0.24699,-0.16067,-0.068944,-0.15704,0.096437,-0.15686,0.010027,-0.14224
-0.42206,0.1186,0.0042365,-0.60377,-0.12526,0.30211,0.11901,0.12376,-0.28506,0.027506
-0.13617,0.12849,0.0016551,-0.81346,-0.033855,-0.061466,0.12335,0.1347,-0.0036864,-0.066378
-0.33601,0.090493,-0.13803,-0.65928,0.14447,0.091955,0.16419,0.021504,0.11141,0.1912
-0.61969,0.22355,-0.028957,-0.36339,-0.087066,0.35755,0.22882,0.24567,-0.26875,0.093848
-0.17068,0.17775,-0.3847,-0.38574,0.085013,-0.021984,0.32241,-0.017865,0.089247,0.084467
-0.35717,0.14838,-0.14958,-0.66027,-0.032329,0.18614,0.1919,0.095156,-0.12308,0.070273
0.049292,-0.10163,0.3652,-0.21472,0.0037007,0.40493,-0.25064,0.095903,-0.19705,0.2105
-0.31537,0.10241,-0.15307,-0.33029,0.051043,0.016583,0.16318,0.029739,0.041621,0.06277
-0.40954,0.082215,-0.085781,-0.41248,0.010539,0.1389,0.12937,0.03975,-0.059148,0.083208
-0.29035,0.29759,-0.049392,-0.091929,0.027235,0.32162,0.31843,0.28254,-0.13752,0.1835
-0.062229,0.14623,0.10107,-0.37805,-0.054394,0.24777,0.093627,0.20152,-0.17482,0.07375
-0.49179,-0.011877,0.12585,-0.84679,0.025075,0.27024,-0.080687,0.050613,-0.12444,0.17318
-0.28613,0.11516,0.10869,-0.22525,-0.1456,0.23606,0.059232,0.17821,-0.24161,-0.031141
