panel_a_TPJ_social,panel_a_TPJ_confidence,panel_a_TPJ_interaction,panel_a_dmPFC_social,panel_a_dmPFC_confidence,panel_a_dmPFC_interaction,panel_b_TPJ_self,panel_b_TPJ_other,panel_b_dmPFC_self,panel_b_dmPFC_other
0.56026,-0.031835,-0.30818,0.32402,-0.062682,-0.59751,0.15635,-0.081712,0.27323,-0.23813
0.57507,0.078998,0.3388,0.52119,-0.039151,0.064435,-0.10141,0.20405,-0.086209,-0.011227
0.25596,-0.06091,-0.17699,0.39276,0.0073848,-0.22527,-0.001564,-0.12484,0.14558,-0.080457
0.097107,0.071241,0.081191,0.18212,-0.013278,-0.030944,0.038265,0.12181,-0.024434,0.024355
0.65828,-0.24257,-0.086779,0.1919,-0.095703,0.064695,-0.26539,-0.23362,-0.11364,-0.084523
0.10544,0.080906,-0.42713,-0.12168,0.037959,-0.25873,0.17738,-0.19391,0.10096,-0.079027
0.16397,0.0064807,0.14646,-0.0059474,-0.0173,-0.016915,-0.083309,0.031802,-0.030818,-0.043339
0.54834,0.033893,0.01148,0.45142,0.082546,-0.20455,-0.023294,0.055097,0.076902,-0.013159
0.44246,-0.1322,-0.12535,0.40077,-0.067227,-0.28356,-0.062647,-0.18647,0.055619,-0.21683
0.31775,0.051878,-0.051939,-0.05369,0.052483,-0.071327,0.058298,0.029674,0.063789,0.012791
-0.040889,0.030564,-0.19764,-0.17448,0.00049765,0.069262,0.075923,-0.070557,-0.062164,0.034561
0.45141,-0.051453,-0.1397,0.20132,-0.063748,-0.58766,0.038543,-0.081508,0.21705,-0.29664
0.36172,-0.074486,0.030169,0.22476,-0.020251,-0.22119,-0.10811,-0.057951,0.10895,-0.11411
0.74487,-0.031751,-0.26539,0.34059,0.090445,0.22452,0.090391,-0.13954,-0.027264,0.20284
0.49052,0.11422,0.32898,0.16426,0.085571,0.06311,-0.028281,0.24258,0.077269,0.10835
0.30401,-0.16446,-0.50352,-0.034142,-0.088257,-0.2584,0.10937,-0.30822,0.045085,-0.1658
0.70094,-0.21126,-0.026565,0.43505,-0.092108,-0.34218,-0.26153,-0.2037,0.025932,-0.27623
0.61574,0.062415,-0.086932,0.32911,0.091657,-0.23616,0.049327,0.036698,0.13037,0.024023
0.26936,-0.041729,-0.12474,0.001082,-0.018466,-0.36576,0.018175,-0.076766,0.14851,-0.17444
0.066895,-0.19909,-0.3317,0.021649,-0.21106,-0.15409,-0.072922,-0.28005,-0.14112,-0.27483
-0.2015,-0.18081,-0.14843,-0.13859,-0.061138,-0.011026,-0.1301,-0.17116,-0.085032,0.015149
