panel_a_T,panel_a_C,panel_a_R,panel_a_A,panel_a_TxC,panel_a_TxR,panel_a_TxA,panel_b_self_C,panel_b_self_R,panel_b_self_A,panel_b_other_C,panel_b_other_R,panel_b_other_A
1.141,4.2853,0.87566,2.0835,-3.5247,-2.9253,-5.7035,2.5248,-0.59176,-0.76822,6.0934,2.3394,4.9353
-0.3791,0.6293,0.076591,0.26018,-0.15075,-0.39062,-3.0246,0.55626,-0.11922,-1.2521,0.70765,0.27305,1.7725
2.643,1.8981,-0.22514,0.72908,0.80032,-0.42804,-0.68839,2.3069,-0.44009,0.38489,1.5034,-0.011196,1.0733
0.58552,1.6547,0.33328,0.10635,0.53571,0.019349,-2.9626,1.9361,0.34123,-1.3749,1.389,0.32785,1.5876
-0.55134,0.98784,0.25042,-0.34158,-0.013531,0.38429,-1.0189,0.98603,0.44063,-0.85102,0.99806,0.059002,0.16787
3.2607,1.8975,0.5185,-0.19425,1.3258,1.0968,-3.6985,2.5712,1.0714,-2.0435,1.2398,-0.030014,1.655
0.75666,0.53452,0.35658,-0.14806,-0.050368,0.61834,2.1425,0.50911,0.66834,0.92317,0.56459,0.047628,-1.2193
0.69862,2.2617,0.49174,2.7256,-0.48763,-0.78762,-2.5295,2.0264,0.098345,1.4608,2.5161,0.8893,3.9903
-0.11445,0.65686,0.48442,1.9866,0.15224,0.3697,-2.9663,0.73062,0.66882,0.5035,0.58735,0.30225,3.4698
1.5898,1.6373,0.26319,0.34644,-1.1871,0.50374,-0.69726,1.0507,0.5104,-0.0021868,2.2349,0.011512,0.69507
2.9227,2.1827,0.022291,1.3653,1.0007,-0.38815,-1.9978,2.6744,-0.17278,0.36642,1.7015,0.21695,2.3642
0.34347,1.1554,0.15632,0.55391,-0.32767,-0.23667,-1.3342,0.9958,0.038142,-0.11318,1.3249,0.27581,1.221
0.6659,2.6021,0.32094,0.48238,1.8088,0.35397,-0.87942,3.5213,0.50003,0.042666,1.7049,0.14457,0.92209
0.78847,0.81697,0.098432,-0.074906,0.61299,0.5962,-1.852,1.1282,0.39821,-1.0009,0.51263,-0.20051,0.85111
1.0601,1.5276,0.66358,-0.24316,-0.042093,-0.6958,-1.818,1.5129,0.31701,-1.1522,1.5552,1.0158,0.66585
-0.11687,-0.10388,0.075034,0.84344,-0.12767,0.33397,0.049886,-0.16843,0.24304,0.86838,-0.04022,-0.092342,0.8185
1.4025,1.1811,0.92405,1.537,0.20487,0.21557,-2.853,1.2794,1.0378,0.11054,1.091,0.81848,2.9635
0.38363,2.1028,0.5182,0.44175,-0.89223,-0.0054371,-5.7344,1.6573,0.52,-2.4255,2.5689,0.52083,3.3089
0.89902,1.3969,0.043825,1.2391,-0.40112,0.22869,-0.055619,1.2002,0.15908,1.2113,1.6057,-0.070709,1.2669
1.6632,1.9654,0.056602,-1.2538,0.6879,-0.78939,-0.32984,2.3183,-0.33837,-1.4187,1.6288,0.45469,-1.0889
1.1348,1.4378,0.32385,-0.025962,0.98565,0.25985,-1.1768,1.9387,0.45569,-0.61438,0.94892,0.19474,0.56245
