loo_S_B1T1P0,loo_S_B1T2P0,loo_S_B2T1P0,loo_S_B2T2P0,loo_S_B1T1P1,loo_S_B1T2P1,loo_S_B2T1P1,loo_S_B2T2P1_U,loo_Q_B1T1P0,loo_Q_B1T2P0,loo_Q_B2T1P0,loo_Q_B2T2P0,loo_Q_B1T1P1,loo_Q_B1T2P1,loo_Q_B2T1P1,loo_Q_B2T2P1_U,loo_T_B1T1P0,loo_T_B1T2P0,loo_T_B2T1P0,loo_T_B2T2P0,loo_T_B1T1P1,loo_T_B1T2P1,loo_T_B2T1P1,loo_T_B2T2P1_U,waic_S_B1T1P0,waic_S_B1T2P0,waic_S_B2T1P0,waic_S_B2T2P0,waic_S_B1T1P1,waic_S_B1T2P1,waic_S_B2T1P1,waic_S_B2T2P1_U,waic_Q_B1T1P0,waic_Q_B1T2P0,waic_Q_B2T1P0,waic_Q_B2T2P0,waic_Q_B1T1P1,waic_Q_B1T2P1,waic_Q_B2T1P1,waic_Q_B2T2P1_U,waic_T_B1T1P0,waic_T_B1T2P0,waic_T_B2T1P0,waic_T_B2T2P0,waic_T_B1T1P1,waic_T_B1T2P1,waic_T_B2T1P1,waic_T_B2T2P1_U
145.28,144.99,145.77,144.92,120.55,123.11,125.07,124.51,151.04,151.36,153.23,152.6,150.38,147.69,151.77,154.31,141.87,144.86,144.91,145.31,121.82,126.1,126.44,124.88,139.99,136.1,140.84,135.96,116.33,118.3,119.98,114.16,150.37,144.66,152.78,145.14,149.73,142.51,151.27,144.47,139.71,136.18,142.61,138,116.27,120.02,119.07,113.83
151.96,145.7,153.54,149.16,147.63,145.99,149.13,141.87,132.57,131.73,133.32,136.24,132.5,135.96,137.09,137.37,136.27,140.87,138.92,139.8,137.77,140.84,141.1,133.25,149.44,140.39,150.78,143.08,146.9,145.01,148.22,140.23,131.98,126.62,132.64,130.51,132.13,132.2,136.84,132.37,134.23,134,136.36,133.62,136.69,137.37,139.86,129.41
138.85,136.84,126.79,130.31,130.31,134.67,118.51,117.74,141.63,135.29,135.93,133.55,142.5,136.68,135.15,131.36,139.15,135.7,125.17,126.72,132.23,134.14,120.48,116.3,137.72,131.16,125.61,126.31,128.46,132.22,116.73,115.03,141.51,131.21,135.86,129.88,142.36,132.88,135.06,128.68,138.5,128.96,124.67,123.22,130.58,130.79,118.82,112.57
90.906,94.333,92.87,96.255,89.221,89.388,89.114,89.646,99.315,96.165,100.18,102.85,98.849,94.875,100.87,99.317,91.566,92.65,94.136,96.94,88.679,87.806,93.728,90.038,89.051,91.108,90.743,92.456,88.054,88.371,87.88,88.243,99.118,93.511,99.764,97.823,98.691,92.992,100.62,96.745,90.399,88.71,92.376,91.859,87.022,85.636,91.753,87.336
144.48,139.4,145.8,137.69,140.66,136.95,141.1,141.5,146.26,138.54,147.04,142.52,146.78,138.39,151.52,146.77,147.27,141.33,147.11,146,142.92,138.25,144.46,144.87,142.73,134.44,143.39,132.95,139.87,136.22,140.4,139.53,146.03,133.94,146.72,136.84,146.59,135.81,151.35,143.07,146.72,135.77,146.17,139.18,142.42,136.3,143.87,142.05
130.59,128.71,124.03,120.31,126.16,128.04,117.77,118.48,122.95,121.23,118.65,121.07,124.17,122.13,121.46,120.55,122.77,124.97,112.18,114.95,115.35,115.68,108.72,108.74,128.38,121.78,121.74,115.87,125.01,126.5,116.51,116.48,122.55,116.54,118.56,116.71,123.75,117.67,121.45,117.23,120.36,116.39,111.1,110.22,113.28,111.17,107.21,105.35
152.98,151.89,153.02,147.48,146.08,149.06,148.01,147.96,155.75,152.19,151.81,148.14,158.48,155.94,153.97,159.09,156.17,152.04,149.96,147.34,151.62,155.97,150.33,149.37,151.41,145.94,151.77,143.15,145.72,148.21,147.36,146.64,155.4,146.13,151.59,143.05,158.22,151.07,153.82,154.91,155.67,145.1,149.41,142.92,151.01,153.13,149.92,147.16
139,142.77,139.14,139.17,126.89,125.72,125.86,129.31,129.72,131.87,132.2,134.48,129.41,130.99,130.92,138.95,121.14,127.44,120.31,124.36,118.12,118.28,118.82,118.48,135.02,134.33,134.69,131.83,124.43,123.17,123.1,124.53,128.95,125.99,131.3,127.84,128.74,126.56,130.57,131.36,116.19,117.53,115.68,116.89,112.76,113.09,113.35,111.73
122.58,121.15,125.52,121.65,119.75,120.78,121.99,126.96,103.99,107.67,106.05,110.46,105.44,106.79,110.35,116.44,105.58,111.82,105.92,109.63,110.61,110.47,110.13,107.19,120.97,117.66,123.9,118.04,119.22,120.15,121.34,125.93,103.61,103.85,105.52,106.1,105.13,104.16,110.14,114.01,103.96,106.94,104.39,105.19,109.47,108.33,108.9,105.08
99.122,99.511,90.791,93.451,91.029,91.896,82.81,81.7,106.59,100.67,102.67,101.56,107.28,103.43,102.05,98.703,103.23,103.36,92.432,97.576,96.832,99.093,88.047,89.872,97.491,95.639,88.755,90.869,89.893,90.432,81.329,80.752,106.58,98.417,102.68,99.087,107.27,101.02,102.02,97.96,102.69,99.802,92.014,95.227,95.723,97.173,87.048,87.905
120.62,126.61,119.64,118.83,119.08,118.39,111.47,109.29,117.01,121.44,113.8,116.61,116.76,122.96,114.78,114.48,115.51,118.9,105.58,111.25,120.05,117.51,109.91,99.433,118.43,120.94,117.49,115.04,117.46,116.63,109.76,107.38,116.74,116.91,113.69,113.05,116.54,118.68,114.7,112.29,113.5,112.34,104.26,106.78,116.52,113.36,107.61,95.919
135.73,134.72,138.52,137.6,128,133.24,132.22,129.36,138.44,134.47,139.82,140.47,137.18,140.4,140.36,139.36,134.76,136.83,135.41,138.07,130.57,134.5,132.55,133.11,134.43,130,136.86,131.74,127.29,132.01,131.36,127.73,138.34,130.98,139.69,134.97,137.1,136.58,140.24,135.8,134.21,131.44,134.81,133.06,130.07,131.73,132.02,129.86
132.74,134.74,133.43,135.25,114.89,113.93,118.47,117.93,141.96,138.53,140.98,141.51,139.2,133.17,139.48,138.56,128.89,129.41,129.86,132.11,116.08,119.51,118.28,117.81,128.66,128.34,128.64,128.51,112.16,111.18,115.31,111.17,141.63,133.83,140.36,133.8,138.78,129.48,139.04,130.88,126.18,124.44,127.39,124.98,112.3,115.14,114.59,111.1
114.4,113.6,118.38,118.89,111.73,114.59,115.82,113.61,111.91,111.11,113.82,115.65,111.55,111.8,114.5,112.86,111.78,111.71,114.32,115.69,110.9,112.59,115,118.5,113.69,111.2,117.28,114.65,111.52,113.83,115.79,113.24,111.84,109.08,113.67,112,111.45,110.06,114.41,111.64,111.61,108.82,114.06,111.98,110.77,110.94,114.69,116.67
144.49,143.13,142.21,140.96,136.95,134.78,130.19,136.63,143.3,144.82,144.07,147.28,146.81,144.83,143.48,146.36,139.83,142.1,131.96,138.15,135.74,136.53,131.4,141.22,140.64,135.59,138.25,133.8,134.67,132.23,128.14,133.04,142.74,139.37,143.67,140.77,146.19,140.43,143.21,142.3,137.56,133.9,130,132.06,132.64,131.9,128.77,135.71
168.22,175.85,170.44,180.07,171.83,171.76,177.17,176.09,167.73,171.01,168.1,173.07,166.97,168.42,169.6,177.49,167.36,171.64,168.16,174.17,168.75,175.22,169.73,179.59,168.19,175.54,170.38,172.43,171.16,170.61,176.21,172.26,167.62,170.68,168.01,172.69,166.93,164.98,169.45,170.21,167.31,171.41,168.13,173.75,168.55,171.68,169.55,174.46
144.2,140.64,142.42,138.28,136.01,138.84,132.6,137.71,123.15,126.06,120.95,126.87,123.52,129.89,119.9,128.23,126.48,133.91,119.23,120.98,128.19,134.48,118.61,124.55,142.25,134.24,140.38,132.97,134.03,136.36,130.62,135.59,121.82,120.07,120.24,121.67,122.59,124.74,119.72,124.72,123.49,124.64,117.48,115.93,124.35,128.75,115.43,120.77
119.96,121.33,122.42,120.88,116.82,115.57,115.18,112.75,120.81,120.06,122.04,124.56,122.62,121.87,123.62,121.82,118.3,124.04,113.76,117.64,115.34,119.12,116.31,113.81,117.74,117.4,119.56,117.26,115.66,114.35,113.85,111.81,120.65,117,121.83,120.42,122.48,119.3,123.52,120.33,117.04,118.57,112.64,113.92,114.38,116.99,114.95,111.51
118.78,122.5,119.03,116.02,116.03,118.46,115.02,110.76,120.12,117.06,121.6,123.59,120.98,118.72,121.87,118.22,114.84,119.18,110.29,112.23,114.23,113.9,111.82,106.3,116.91,117.38,116.64,112.2,115.04,116.78,113.5,109.07,120.04,113.38,121.48,118.34,120.89,115.51,121.7,115.4,113.72,113.61,109.45,108.22,112.99,110.81,110.56,103.27
152.9,145.59,144.54,141.11,140.12,136.48,131.64,131.21,153.56,146.93,153.01,150.42,154.26,148.43,149.59,150.37,139.34,148.88,142.3,148.08,123.89,136.6,133.16,139,150.47,137.23,142.04,133.77,136.88,132.91,128.64,125.74,153.1,140.65,152.68,143.46,153.72,143.02,149.19,143.41,137.69,140.06,141.38,140.4,119.33,130.45,129.83,131.2
116.6,115.67,120.66,119.78,112.74,114.06,115.03,112.79,118.87,115.23,121.39,124.06,119.69,116.94,122.26,120.04,116.57,118.55,119.81,121.67,114.89,116.56,116.04,115.83,115.19,110.99,118.56,114.41,112.3,113.44,114.48,111.55,118.66,111.91,121.1,118.95,119.55,114.04,122.14,117.29,115.84,113.4,118.81,116.07,114.31,113.65,115.28,113.86
