V5_O2O,V5_S2O,V5_02S,V5_S2S,LIP_O2O,LIP_S2O,LIP_02S,LIP_S2S,TPJ_O2O,TPJ_S2O,TPJ_02S,TPJ_S2S,dmPFC_O2O,dmPFC_S2O,dmPFC_02S,dmPFC_S2S
-0.19216,-0.22896,0.031324,0.37108,-0.21722,-0.15716,0.093404,0.27771,0.43567,0.06626,-0.29948,-0.23575,0.28432,-0.03777,0.044944,-0.28928
-0.42179,-0.16792,0.50956,0.089059,-0.39716,-0.095381,0.35504,0.15278,0.38982,0.23679,-0.44886,-0.1975,0.43733,0.061559,-0.24606,-0.28092
0.14641,-0.2111,-0.086982,0.40243,0.032482,0.070143,0.035432,-0.23547,0.17793,0.1095,-0.21137,-0.034837,0.14219,0.24079,-0.40692,0.097215
-0.5443,0.14081,0.13683,0.080423,-0.66346,-0.14334,0.3393,0.32233,-0.10846,0.11122,0.080945,-0.18988,-0.28061,0.30262,0.071527,-0.31003
-0.16371,-0.30496,0.24937,0.30578,-0.17029,-0.22383,0.20601,0.25311,-0.0063187,0.48008,-0.19531,-0.42302,-0.14394,0.25493,-0.050605,-0.13037
-0.39672,-0.4595,0.27596,0.59991,-0.26465,0.023761,0.13909,0.03502,-0.063707,0.08224,0.0033861,-0.050991,-0.0079138,-0.078997,-0.075936,0.2056
-0.34918,-0.055875,0.42599,-0.089647,-0.29763,-0.34359,0.69443,-0.093764,-0.14135,0.17853,0.23683,-0.3604,0.040407,-0.065522,0.23004,-0.22439
0.072774,-0.48974,0.31168,0.15514,0.089811,-0.25455,0.36977,-0.2373,0.24884,0.24847,-0.032206,-0.52565,0.21285,0.20798,-0.036409,-0.43246
-0.10802,-0.29071,0.24751,0.15787,-0.2836,-0.31691,0.4905,0.083305,0.086923,0.3245,-0.13072,-0.31051,0.23583,0.16032,-0.14867,-0.24927
-0.2415,0.10914,-0.025855,0.15765,-0.65496,-0.2465,0.3609,0.50515,0.031784,0.18225,0.10824,-0.38301,-0.017696,-0.1035,0.10344,0.0060605
-0.15686,-0.11702,0.2743,-0.024631,-0.38167,-0.26347,0.55409,0.049841,-0.025343,-0.022069,0.15418,-0.13119,-0.071907,-0.060361,0.28217,-0.1898
-0.44316,-0.18287,0.20108,0.40843,-0.25876,-0.22385,0.32552,0.14198,0.15798,0.26986,0.14797,-0.52274,-0.050792,0.28911,0.037077,-0.22637
-0.041978,-0.1585,0.21537,-0.044176,-0.273,-0.14855,0.19826,0.2264,0.33975,-0.0071345,-0.0068535,-0.36358,0.38958,-0.18099,0.10391,-0.34737
-0.23297,-0.094319,0.38128,-0.0080197,-0.47515,-0.18431,0.35669,0.34378,0.33054,0.39604,-0.3161,-0.39594,0.097084,0.21089,-0.092613,-0.19276
-0.14765,0.17755,-0.07003,0.046561,-0.24633,0.035438,0.051123,0.16182,0.051043,0.38856,-0.19444,-0.24004,-0.062251,0.21538,-0.0010738,-0.15741
-0.13148,-0.096872,-0.026605,0.26406,-0.17829,-0.13051,0.12198,0.1935,-0.12895,0.4176,-0.2548,-0.035058,-0.23303,0.19259,-0.095415,0.1407
-0.38015,-0.06306,0.35015,0.069774,-0.23704,-0.16208,0.37945,-0.0040497,0.31919,0.38172,-0.34092,-0.40808,-0.095207,0.4524,-0.16315,-0.25204
-0.25917,-0.064844,0.15459,0.14223,-0.21584,0.11128,-0.078459,0.1663,-0.031551,0.4999,-0.17644,-0.49765,-0.038864,0.25486,0.067315,-0.46579
-0.13391,0.11318,0.038219,-0.04899,-0.041893,-0.2755,0.16097,0.2128,0.24393,0.02,-0.090162,-0.2005,0.016354,-0.0089773,-0.079997,0.1053
-0.29079,-0.18215,0.16053,0.32723,-0.57319,-0.23553,0.22715,0.60888,-0.027484,0.20719,-0.1845,0.00016733,0.12105,0.028931,0.062881,-0.2117
-0.32734,-0.064911,0.046303,0.31337,-0.18353,-0.1193,-0.024811,0.31859,-0.25713,0.05265,0.13572,0.029167,-0.40648,0.18606,0.21078,-0.059787
